inventory_id,product_id,warehouse_id,stock,reorder_level,last_restock_date
1,PROD05628,WH006,379.0,55,2023-05-17
2,PROD08269,WH044,377.0,33,2025-10-17
3,PROD15380,WH050,302.0,74,2022-03-07
4,PROD19687,WH050,111.0,49,2024-10-31
5,PROD01896,WH006,287.0,45,2025-08-23
6,PROD18771,WH025,112.0,77,2025-04-21
7,PROD10273,WH015,445.0,20,2022-11-23
8,PROD09113,WH046,142.0,39,2023-03-17
9,PROD18265,WH042,47.0,68,2022-07-18
10,PROD00728,WH039,176.0,97,2023-06-26
11,PROD02389,WH019,235.0,88,2022-09-13
12,PROD11653,WH050,282.0,57,2025-07-11
13,PROD04327,WH002,98.0,28,2022-04-04
14,PROD01589,WH008,148.0,30,2023-04-22
15,PROD12622,WH010,142.0,78,2025-07-25
16,PROD10190,WH031,189.0,65,2023-03-06
17,PROD04924,WH011,479.0,29,2025-06-01
18,PROD01123,WH030,373.0,51,2022-12-01
19,PROD14598,WH010,138.0,91,2023-03-26
20,PROD11260,WH040,393.0,27,2023-04-15
21,PROD08797,WH015,161.0,71,2023-07-03
22,PROD05060,WH035,467.0,92,2023-10-07
23,PROD10793,WH036,255.0,70,2025-08-09
24,PROD11781,WH013,135.0,37,2023-05-21
25,PROD19785,WH030,134.0,94,2024-05-27
26,PROD02337,WH017,185.0,48,2022-10-11
27,PROD06262,WH001,46.0,26,2022-08-13
28,PROD02837,WH040,81.0,74,2025-05-06
29,PROD11360,WH010,195.0,96,2032-05-01
30,PROD15008,WH007,497.0,90,2022-01-24
31,PROD16578,WH045,453.0,88,2023-07-01
32,PROD10941,WH027,150.0,75,2022-11-20
33,PROD18232,WH032,488.0,53,2024-10-22
34,PROD18810,WH049,467.0,33,2025-07-04
35,PROD00711,WH040,327.0,84,2025-06-01
36,PROD14147,WH013,191.0,40,2025-01-09
37,PROD11382,WH032,306.0,61,2024-09-27
38,PROD13377,WH027,475.0,66,2023-09-22
39,PROD02210,WH014,123.0,92,2022-06-11
40,PROD01027,WH019,248.0,28,2024-12-26
41,PROD02010,WH044,337.0,80,2025-01-30
42,PROD09388,WH007,270.0,97,2024-05-16
43,PROD12005,WH030,386.0,45,2025-12-31
44,PROD01614,WH017,343.0,67,2024-06-16
45,PROD00216,WH038,61.0,51,2023-04-06
46,PROD10393,WH046,10.0,95,2025-02-08
47,PROD05951,WH022,112.0,20,2022-05-26
48,PROD13584,WH009,34.0,24,2023-11-08
49,PROD18189,WH049,121.0,55,2025-10-02
50,PROD09487,WH035,276.0,36,2025-03-15
51,PROD07618,WH012,124.0,80,2024-04-13
52,PROD04370,WH042,49.0,75,2023-12-27
53,PROD19431,WH025,239.0,26,2025-10-11
54,PROD07122,WH014,206.0,63,2022-08-12
55,PROD17059,WH034,97.0,88,2024-07-07
56,PROD01715,WH031,93.0,55,2024-08-05
57,PROD05532,WH020,226.0,90,2022-07-20
58,PROD18898,WH036,276.0,21,2022-07-11
59,PROD13715,WH031,208.0,82,2024-09-12
60,PROD14935,WH017,462.0,27,2022-12-04
61,PROD08773,WH032,199.0,53,2024-07-20
62,PROD01116,WH031,356.0,91,2025-09-17
63,PROD17322,WH013,97.0,57,2023-03-22
64,PROD07880,WH022,376.0,89,2022-05-05
65,PROD13899,WH014,25.0,94,2024-09-03
66,PROD14666,WH039,271.0,40,2022-04-27
67,PROD15227,WH050,435.0,43,2022-05-21
68,PROD05302,WH020,345.0,50,2024-04-06
69,PROD07688,WH002,126.0,94,2025-05-02
70,PROD19021,WH014,41.0,73,2025-09-08
71,PROD10790,WH002,267.0,60,2023-06-19
72,PROD11814,WH024,366.0,60,2023-05-04
73,PROD07645,WH017,67.0,58,2024-07-25
74,PROD13031,WH021,479.0,29,2022-01-20
75,PROD01171,WH014,288.0,32,2022-05-31
76,PROD03865,WH035,259.0,53,2022-09-29
77,PROD02167,WH020,450.0,51,2024-01-27
78,PROD04926,WH031,224.0,89,2025-12-11
79,PROD12426,WH014,413.0,87,2022-01-17
80,PROD05190,WH028,477.0,33,2022-10-03
81,PROD14833,WH027,455.0,33,2025-02-07
82,PROD19266,WH005,144.0,97,2023-03-08
83,PROD06896,WH035,351.0,53,2024-11-01
84,PROD15458,WH007,463.0,26,2022-07-09
85,PROD19431,WH040,141.0,25,2022-01-08
86,PROD11929,WH008,66.0,53,2022-11-27
87,PROD02307,WH041,361.0,74,2025-02-22
88,PROD12571,WH027,38.0,39,2025-01-22
89,PROD08815,WH040,189.0,94,2025-02-05
90,PROD02448,WH031,65.0,25,2023-09-24
91,PROD14877,WH043,497.0,25,2024-01-03
92,PROD08117,WH045,127.0,33,2023-12-26
93,PROD15578,WH025,498.0,99,2022-11-13
94,PROD01859,WH031,499.0,42,2024-04-24
95,PROD05237,WH004,377.0,62,2024-04-23
96,PROD09277,WH005,81.0,33,2024-02-23
97,PROD02772,WH039,240.0,48,2023-02-13
98,PROD17762,WH046,156.0,49,2023-04-02
99,PROD04520,WH024,98.0,71,2023-11-04
100,PROD14901,WH020,495.0,55,2023-12-21
101,PROD12254,WH017,347.0,88,2023-11-10
102,PROD11466,WH027,449.0,53,2023-01-01
103,PROD05589,WH007,19.0,33,2025-05-06
104,PROD04181,WH046,373.0,60,2024-06-12
105,PROD05856,WH049,59.0,69,2025-03-26
106,PROD17680,WH007,22.0,75,2022-01-04
107,PROD08548,WH015,-10.0,45,2024-01-16
108,PROD09857,WH020,485.0,62,2025-06-30
109,PROD14226,WH024,434.0,35,2023-09-08
110,PROD02963,WH028,341.0,72,2023-10-31
111,PROD15164,WH011,151.0,90,2022-09-18
112,PROD11727,WH025,340.0,68,2025-10-19
113,PROD16099,WH014,291.0,58,2024-04-11
114,PROD19921,WH040,0.0,58,2023-08-11
115,PROD03026,WH031,402.0,94,2025-05-27
116,PROD09426,WH026,226.0,76,2025-10-15
117,PROD00062,WH049,242.0,41,2025-09-11
118,PROD11223,WH048,263.0,99,2023-11-18
119,PROD17327,WH029,487.0,50,2025-10-09
120,PROD13138,WH009,412.0,45,2022-10-29
121,PROD14501,WH033,125.0,80,2025-06-05
122,PROD00486,WH026,212.0,100,2025-03-24
123,PROD06429,WH023,356.0,69,2024-10-09
124,PROD12704,WH018,75.0,20,2022-08-07
125,PROD06381,WH009,90.0,86,2024-08-09
126,PROD04073,WH041,127.0,35,2024-07-23
127,PROD12676,WH015,237.0,87,2025-02-18
128,PROD19066,WH047,486.0,76,2025-06-08
129,PROD11708,WH031,425.0,90,2024-07-02
130,PROD11854,WH018,441.0,80,2024-07-10
131,PROD00949,WH021,126.0,55,2024-12-03
132,PROD04144,WH040,122.0,55,2024-06-19
133,PROD14411,WH023,146.0,50,2023-07-11
134,PROD06862,WH047,457.0,89,2022-06-15
135,PROD00399,WH013,118.0,69,2025-11-22
136,PROD05865,WH023,109.0,28,2024-04-29
137,PROD11603,WH046,277.0,79,2024-05-01
138,PROD00328,WH035,426.0,73,2024-03-08
139,PROD18382,WH011,10.0,93,2024-02-19
140,PROD03177,WH032,482.0,65,2023-09-04
141,PROD14426,WH039,456.0,73,2025-01-07
142,PROD08554,WH015,308.0,48,2024-09-26
143,PROD00812,WH005,223.0,82,2022-03-01
144,PROD05820,WH046,342.0,71,2022-12-05
145,PROD15971,WH044,318.0,88,2022-02-25
146,PROD16445,WH022,288.0,23,2022-06-21
147,PROD01175,WH044,443.0,79,2023-01-08
148,PROD07349,WH007,194.0,61,2023-03-10
149,PROD12609,WH047,172.0,68,2023-07-24
150,PROD13800,WH007,427.0,30,2024-08-21
151,PROD04743,WH018,276.0,26,2023-12-18
152,PROD18509,WH036,35.0,25,2022-03-05
153,PROD07571,WH034,429.0,22,2025-06-26
154,PROD01797,WH018,64.0,80,2025-10-03
155,PROD10646,WH002,485.0,47,2024-08-10
156,PROD12915,WH008,188.0,41,2025-05-25
157,PROD16313,WH018,367.0,34,2022-12-02
158,PROD03183,WH042,296.0,23,2023-10-01
159,PROD08364,WH045,464.0,68,2024-03-23
160,PROD17200,WH020,303.0,100,2023-05-13
161,PROD09093,WH011,395.0,58,2025-11-02
162,PROD04143,WH015,61.0,92,2022-03-26
163,PROD08344,WH030,219.0,67,2022-05-22
164,PROD05489,WH036,174.0,21,2024-05-10
165,PROD07130,WH042,221.0,66,2025-07-25
166,PROD00045,WH023,78.0,75,2022-12-27
167,PROD11990,WH036,138.0,98,2025-01-07
168,PROD16369,WH026,223.0,95,2023-07-04
169,PROD03176,WH039,125.0,31,2023-07-26
170,PROD14390,WH018,384.0,79,2025-03-13
171,PROD17913,WH024,194.0,63,2022-02-28
172,PROD08306,WH039,166.0,43,2024-09-25
173,PROD08361,WH046,408.0,53,2023-11-29
174,PROD07043,WH003,359.0,55,2025-02-12
175,PROD01035,WH037,485.0,44,2022-06-25
176,PROD12572,WH019,208.0,82,2025-02-11
177,PROD12236,WH011,243.0,82,2024-07-06
178,PROD01607,WH050,150.0,48,2024-04-08
179,PROD00444,WH028,339.0,94,2024-01-26
180,PROD02774,WH041,271.0,64,2024-05-21
181,PROD19947,WH046,180.0,78,2023-07-09
182,PROD06283,WH007,118.0,35,2023-01-30
183,PROD00910,WH027,380.0,88,2025-11-14
184,PROD01587,WH034,110.0,81,2023-07-21
185,PROD18778,WH021,268.0,96,2023-08-03
186,PROD13767,WH040,99.0,57,2023-04-11
187,PROD01401,WH004,154.0,21,2025-12-21
188,PROD09278,WH044,140.0,25,2022-04-22
189,PROD15464,WH048,357.0,36,2025-07-30
190,PROD03256,WH042,446.0,21,2025-03-21
191,PROD18891,WH012,245.0,76,2023-11-29
192,PROD16265,WH014,129.0,81,2022-08-22
193,PROD04844,WH017,251.0,29,2025-03-27
194,PROD11367,WH013,76.0,92,2023-09-15
195,PROD10873,WH018,60.0,91,2024-05-02
196,PROD14556,WH003,404.0,99,2023-04-08
197,PROD00160,WH010,230.0,76,2023-09-01
198,PROD19938,WH031,156.0,92,2025-06-25
199,PROD15244,WH014,491.0,32,2023-03-02
200,PROD15325,WH007,338.0,30,2022-11-18
201,PROD17169,WH004,282.0,29,2022-11-17
202,PROD15488,WH025,230.0,96,2024-08-20
203,PROD06082,WH033,118.0,56,2025-12-18
204,PROD11386,WH011,440.0,78,2022-05-26
205,PROD04456,WH007,403.0,100,2025-04-22
206,PROD05281,WH031,58.0,89,2023-04-06
207,PROD09333,WH005,423.0,38,2022-05-27
208,PROD13897,WH031,405.0,59,2025-05-03
209,PROD07060,WH048,224.0,35,2024-08-17
210,PROD02621,WH011,206.0,54,2024-10-21
211,PROD08536,WH001,224.0,30,2025-05-09
212,PROD18951,WH031,376.0,61,2025-05-21
213,PROD19611,WH006,46.0,49,2025-10-12
214,PROD15897,WH022,486.0,22,2025-10-08
215,PROD09195,WH002,20.0,42,2024-08-21
216,PROD11957,WH036,226.0,55,2023-01-07
217,PROD09311,WH031,325.0,82,2022-07-06
218,PROD11709,WH046,209.0,62,2023-10-20
219,PROD15054,WH039,82.0,62,2024-04-23
220,PROD14363,WH048,339.0,71,2025-01-31
221,PROD05275,WH026,45.0,60,2023-06-01
222,PROD15432,WH027,496.0,71,2024-11-19
223,PROD18045,WH024,445.0,89,2024-08-04
224,PROD05841,WH014,96.0,86,2024-01-11
225,PROD16598,WH040,226.0,26,2023-02-21
226,PROD02348,WH041,67.0,56,2024-06-16
227,PROD06588,WH027,14.0,100,2025-05-31
228,PROD11898,WH023,81.0,59,2025-02-02
229,PROD02484,WH041,208.0,31,2023-04-06
230,PROD00885,WH026,484.0,35,2025-08-19
231,PROD17459,WH001,477.0,57,2024-11-08
232,PROD12891,WH025,427.0,81,2024-08-25
233,PROD05478,WH026,282.0,38,2024-02-25
234,PROD19292,WH003,260.0,37,2022-05-23
235,PROD06348,WH008,404.0,73,2023-11-28
236,PROD08476,WH005,420.0,20,2023-08-03
237,PROD09442,WH040,300.0,94,2025-09-13
238,PROD13493,WH013,228.0,88,2024-09-18
239,PROD02903,WH046,282.0,89,2024-02-12
240,PROD13595,WH047,445.0,44,2025-11-29
241,PROD14418,WH002,196.0,49,2024-04-21
242,PROD07307,WH047,381.0,80,2025-12-15
243,PROD17758,WH010,339.0,39,2024-10-11
244,PROD08132,WH044,257.0,95,2023-11-11
245,PROD15457,WH039,225.0,32,2024-12-13
246,PROD07136,WH032,369.0,38,2024-04-19
247,PROD02605,WH020,240.0,53,2023-11-25
248,PROD06521,WH036,41.0,62,2025-10-13
249,PROD13320,WH010,488.0,60,2025-07-07
250,PROD10233,WH030,18.0,99,2022-05-21
251,PROD16546,WH040,350.0,56,2023-04-11
252,PROD10667,WH031,500.0,32,2025-07-21
253,PROD16930,WH038,85.0,58,2022-03-01
254,PROD07150,WH047,407.0,27,2023-08-24
255,PROD04242,WH016,220.0,38,2023-05-16
256,PROD03053,WH025,289.0,43,2022-12-15
257,PROD16558,WH050,312.0,68,2025-06-23
258,PROD13101,WH001,467.0,94,2022-10-21
259,PROD17195,WH026,326.0,52,2024-07-30
260,PROD18070,WH024,4.0,79,2023-08-13
261,PROD18464,WH031,37.0,76,2023-12-09
262,PROD15729,WH028,327.0,74,2025-11-14
263,PROD08094,WH026,432.0,58,2023-02-12
264,PROD03128,WH039,247.0,33,2023-05-01
265,PROD18543,WH002,183.0,93,2023-08-29
266,PROD17870,WH006,500.0,70,2023-07-17
267,PROD14360,WH002,442.0,26,2025-05-26
268,PROD00161,WH040,462.0,56,2023-04-17
269,PROD10174,WH015,180.0,48,2025-07-27
270,PROD13798,WH014,128.0,37,2025-07-10
271,PROD02079,WH040,330.0,25,2023-09-25
272,PROD16038,WH033,296.0,66,2022-09-27
273,PROD16778,WH048,167.0,73,2022-12-26
274,PROD18154,WH044,402.0,89,2024-01-20
275,PROD10652,WH049,467.0,54,2022-12-03
276,PROD10944,WH029,483.0,81,2023-08-28
277,PROD09965,WH015,58.0,79,2022-06-04
278,PROD04823,WH021,494.0,48,2025-10-17
279,PROD06822,WH039,411.0,91,2024-01-20
280,PROD05702,WH043,202.0,21,2023-06-26
281,PROD12577,WH027,232.0,67,2025-10-09
282,PROD05689,WH022,195.0,67,2022-08-10
283,PROD08243,WH012,12.0,99,2025-02-23
284,PROD13340,WH014,113.0,28,2025-07-25
285,PROD14449,WH011,154.0,72,2022-08-27
286,PROD15702,WH033,484.0,24,2023-09-16
287,PROD14027,WH027,49.0,50,2025-01-05
288,PROD16827,WH010,232.0,67,2025-10-05
289,PROD13369,WH025,300.0,39,2024-04-29
290,PROD11636,WH040,250.0,98,2024-04-15
291,PROD00959,WH033,353.0,67,2023-03-21
292,PROD00693,WH038,486.0,50,2024-01-13
293,PROD19594,WH045,188.0,89,2025-08-13
294,PROD01010,WH014,203.0,55,2023-01-24
295,PROD10464,WH039,421.0,78,2022-07-07
296,PROD08361,WH036,327.0,96,2022-02-13
297,PROD18898,WH043,170.0,51,2022-09-15
298,PROD11788,WH035,35.0,90,2023-03-01
299,PROD13704,WH035,416.0,49,2023-11-04
300,PROD10719,WH043,461.0,96,2022-01-06
301,PROD11771,WH039,74.0,36,2025-01-11
302,PROD10969,WH015,89.0,34,2025-09-15
303,PROD17976,WH044,7.0,65,2023-05-03
304,PROD16749,WH047,8.0,42,2023-06-28
305,PROD00218,WH044,379.0,73,2024-12-13
306,PROD02446,WH018,32.0,80,2024-07-07
307,PROD07530,WH049,303.0,33,2024-07-14
308,PROD05521,WH009,484.0,98,2022-03-30
309,PROD04524,WH028,234.0,23,2022-05-05
310,PROD14443,WH039,205.0,74,2025-11-06
311,PROD02663,WH001,364.0,76,2022-05-31
312,PROD15025,WH047,311.0,38,2022-05-15
313,PROD13707,WH005,319.0,94,2025-01-28
314,PROD03378,WH010,305.0,87,2023-08-27
315,PROD18232,WH049,309.0,75,2022-07-23
316,PROD07977,WH039,335.0,90,2023-03-17
317,PROD16874,WH038,-10.0,49,2024-04-27
318,PROD18850,WH029,232.0,71,2024-05-01
319,PROD16382,WH047,218.0,60,2025-09-24
320,PROD11104,WH016,488.0,39,2025-11-07
321,PROD16831,WH020,46.0,30,2022-07-10
322,PROD10942,WH042,381.0,67,2022-09-24
323,PROD09901,WH014,300.0,91,2025-02-24
324,PROD00105,WH024,62.0,72,2023-12-26
325,PROD10574,WH019,26.0,56,2025-05-14
326,PROD05345,WH046,53.0,93,2024-11-05
327,PROD08764,WH013,336.0,81,2023-04-05
328,PROD03195,WH046,432.0,91,2024-01-23
329,PROD18363,WH021,142.0,93,2023-04-09
330,PROD18646,WH039,287.0,99,2025-06-10
331,PROD11372,WH006,311.0,54,2022-03-01
332,PROD01618,WH005,359.0,59,2023-11-27
333,PROD15742,WH032,92.0,38,2025-03-05
334,PROD18230,WH020,72.0,23,2022-07-07
335,PROD10059,WH035,192.0,73,2024-07-18
336,PROD16052,WH031,189.0,59,2023-10-27
337,PROD17176,WH003,43.0,26,2022-11-15
338,PROD16051,WH021,316.0,26,2025-10-12
339,PROD18508,WH005,226.0,74,2024-09-21
340,PROD10174,WH038,212.0,54,2023-03-18
341,PROD18213,WH027,176.0,75,2022-08-16
342,PROD09951,WH045,347.0,95,2024-09-23
343,PROD16767,WH024,157.0,25,2023-03-28
344,PROD11503,WH003,28.0,20,2023-02-23
345,PROD02589,WH035,392.0,37,2023-06-08
346,PROD08495,WH047,61.0,20,2024-10-15
347,PROD15990,WH004,66.0,68,2024-12-26
348,PROD05951,WH049,286.0,65,2022-05-28
349,PROD03986,WH018,21.0,75,2022-02-08
350,PROD03940,WH020,441.0,60,2025-03-25
351,PROD14262,WH002,207.0,73,2023-08-16
352,PROD18992,WH017,10.0,61,2022-12-18
353,PROD13972,WH040,353.0,66,2022-06-30
354,PROD04042,WH039,54.0,51,2024-06-11
355,PROD15746,WH017,268.0,30,2024-03-21
356,PROD05855,WH018,173.0,48,2023-11-14
357,PROD10250,WH020,261.0,34,2024-12-22
358,PROD11255,WH034,463.0,64,2023-12-21
359,PROD18917,WH018,52.0,38,2023-06-09
360,PROD16130,WH004,308.0,39,2025-09-04
361,PROD16183,WH004,487.0,100,2024-10-08
362,PROD14039,WH021,288.0,94,2024-07-08
363,PROD17651,WH036,325.0,99,2023-10-24
364,PROD06288,WH013,225.0,28,2024-08-18
365,PROD09757,WH040,155.0,55,2025-04-26
366,PROD04405,WH046,259.0,29,2023-09-28
367,PROD14408,WH038,19.0,27,2024-01-26
368,PROD04413,WH020,330.0,31,2025-06-13
369,PROD05646,WH049,196.0,79,2025-04-03
370,PROD14485,WH043,378.0,25,2024-07-10
