product_id,product_name,category,sub_category,brand,vendor_id,cost_price,selling_price,profit
PROD01357,Pro Dell Perfume,Beauty,Perfume,Dell,VEND0080,16695.05,25525.36,8830.31
PROD00985,Essential Samsung Bags,Fashion,Bags,Samsung,VEND0171,43026.11,49153.85,6127.74
PROD00860,Premium Wildcraft Tablet,Electronics,Tablet,Wildcraft,VEND0059,25359.15,32823.72,7464.57
PROD01985,Elite Wildcraft Kitchen,Home,Kitchen,Wildcraft,VEND0126,28725.7,41281.76,12556.06
PROD01294,Mini Dell Mobile,Electronics,Mobile,Dell,VEND0101,18043.83,25759.65,7715.82
PROD01470,Pro Adidas Furniture,Home,Furniture,Adidas,VEND0075,20094.09,25405.3,5311.21
PROD01704,Luxury Boat Kitchen,Home,Kitchen,Boat,VEND0099,21731.45,30796.02,9064.57
PROD01384,Portable Nivea Camera,Electronics,Camera,Nivea,VEND0167,43678.05,73455.93,29777.88
PROD00252,Wireless Ikea Education,Books,Education,Ikea,VEND0170,17880.86,28046.22,10165.36
PROD00472,Pro Puma Education,Books,Education,Puma,VEND0278,368.58,496.12,127.54
PROD00383,Smart Titan Lighting,Home,Lighting,Titan,VEND0014,27871.4,39228.01,11356.61
PROD00129,Luxury Hp Smart Watch,Electronics,Smart Watch,Hp,VEND0207,15760.13,20393.05,4632.92
PROD00619,Premium Ikea Women Clothing,Fashion,Women Clothing,Ikea,VEND0152,34185.35,40607.31,6421.96
PROD01092,Ultra Reebok Fiction,Books,Fiction,Reebok,VEND0121,47160.95,72370.4,25209.45
PROD01403,Pro Oneplus Women Clothing,Fashion,Women Clothing,Oneplus,VEND0027,42411.09,70430.39,28019.3
PROD01138,Luxury Lg Kitchen,Home,Kitchen,Lg,VEND0029,40087.82,50902.41,10814.59
PROD01602,Portable Lakme Furniture,Home,Furniture,Lakme,VEND0065,6971.32,8017.48,1046.16
PROD00584,Smart Puma Children,Books,Children,Puma,VEND0052,47474.83,74427.04,26952.21
PROD00926,Max Loreal Cycling,Sports,Cycling,Loreal,VEND0300,13552.79,21432.24,7879.45
PROD00066,Max Nike Cycling,Sports,Cycling,Nike,VEND0210,36001.73,46089.18,10087.45
PROD00924,Classic Samsung Cricket,Sports,Cricket,Samsung,VEND0162,14475.17,22847.4,8372.23
PROD00322,Luxury Samsung Women Clothing,Fashion,Women Clothing,Samsung,VEND0137,13076.22,16231.68,3155.46
PROD00306,Elite Oneplus Footwear,Fashion,Footwear,Oneplus,VEND0179,34527.48,48110.65,13583.17
PROD01542,Smart Loreal Furniture,Home,Furniture,Loreal,VEND0258,20393.96,31506.03,11112.07
