return_id,order_id,return_reason,return_date,refund_amount
1,119738,Size Issue,2023-09-21,28237.66
2,72273,Wrong Product,2023-07-02,21849.62
3,158155,Size Issue,2022-07-04,93292.03
4,65427,Changed Mind,2026-01-26,84879.87
5,30075,Damaged Product,2023-10-06,7638.08
6,23678,Changed Mind,2022-05-25,73207.27
7,134859,Size Issue,2023-05-26,59432.47
8,176419,Quality Issue,2023-03-08,195083.44
9,132468,Late Delivery,2025-05-17,35890.12
10,4083,Defective Item,2022-02-01,11219.79
11,74457,Quality Issue,2025-03-20,11040.18
12,142134,Wrong Product,2024-06-02,98044.83
13,186434,Damaged Product,2022-08-12,18430.3
14,84661,Defective Item,2023-11-10,139164.23
15,117168,Defective Item,2024-06-09,73682.27
16,110853,Changed Mind,2022-11-01,144445.52
17,105001,Quality Issue,2025-05-11,70663.21
18,181464,Defective Item,2025-08-17,81738.81
19,9448,Defective Item,2025-04-04,27076.6
20,178532,Size Issue,2022-12-15,46568.91
21,168259,Wrong Product,2022-01-19,67561.12
22,30069,Damaged Product,2025-07-26,15556.41
23,28456,Damaged Product,2024-05-03,138904.28
24,156519,Size Issue,2025-01-30,98431.77
25,7817,Late Delivery,2025-04-02,163181.34
26,5255,Late Delivery,2025-08-26,61565.65
27,9849,Size Issue,2024-10-27,24338.91
28,130691,Wrong Product,2022-09-06,17449.94
29,191767,Wrong Product,2024-10-25,5421.79
30,48711,Size Issue,2025-01-02,13672.5
31,132177,Size Issue,2022-03-18,322766.95
32,6604,Defective Item,2022-04-21,5677.58
33,22726,Damaged Product,2023-09-19,83309.61
34,810,Late Delivery,2022-08-04,4548.06
35,113504,Changed Mind,2022-04-23,36254.84
36,90859,Wrong Product,2022-10-23,2282.87
37,37748,Size Issue,2022-09-05,90866.81
38,129626,Wrong Product,2024-07-30,88046.98
39,19645,Changed Mind,2025-12-05,53169.71
40,60152,,2024-01-11,7529.14
41,64048,Late Delivery,2024-09-27,2842.73
42,160889,Wrong Product,2023-09-16,84200.81
43,54784,Defective Item,2024-06-06,28587.96
